,ordernumber,orderdate,customer names,product name,channel,order quantity,unit price,line total,total unit cost,state_code,county,state,region,latitude,longitude,2017 budgets
46373,SO - 0001333,2017-01-01,Wordpedia Ltd,Product 11,Wholesale,6,1139.0,6834.0,489.77,CA,San Mateo County,California,West,37.48522,-122.23635,1230458.484
46374,SO - 0002930,2017-01-01,Linklinks Ltd,Product 18,Distributor,6,2512.5,15075.0,1582.875,FL,Palm Beach County,Florida,South,26.82339,-80.13865,2309499.045
46375,SO - 0003538,2017-01-01,Aimbo Corp,Product 4,Wholesale,11,1051.9,11570.900000000001,831.0010000000001,MO,St. Charles County,Missouri,Midwest,38.78394,-90.48123,2885560.824
46376,SO - 0004653,2017-01-01,Pixoboo Corp,Product 1,Wholesale,9,1232.8,11095.199999999999,788.992,WA,Benton County,Washington,West,46.28569,-119.28446,3016489.209
46377,SO - 0004702,2017-01-01,Kaymbo Company,Product 26,Distributor,11,2519.2000000000003,27711.200000000004,1309.9840000000002,CA,Alameda County,California,West,37.87159,-122.27275,5685138.2700000005
46378,SO - 0005293,2017-01-01,Liberty Group,Product 3,Wholesale,10,1125.6000000000001,11256.000000000002,540.288,OK,Cleveland County,Oklahoma,South,35.22257,-97.43948,2642352.432
46379,SO - 0005571,2017-01-01,Chatterbri Ltd,Product 26,Wholesale,9,1112.2,10009.800000000001,556.1,CA,Kern County,California,West,35.37329,-119.01871,5685138.2700000005
46380,SO - 0007215,2017-01-01,SHISEIDO Ltd,Product 18,Export,6,1105.5,6633.0,840.1800000000001,IN,Vanderburgh County,Indiana,Midwest,37.97476,-87.55585,2309499.045
46381,SO - 0009517,2017-01-01,Blogspan Ltd,Product 5,Wholesale,12,2659.9,31918.800000000003,2207.717,MN,Olmsted County,Minnesota,Midwest,44.02163,-92.4699,3925424.5420000004
46382,SO - 0009687,2017-01-01,Skajo Ltd,Product 17,Distributor,9,998.3000000000001,8984.7,469.201,WI,Waukesha County,Wisconsin,Midwest,43.01168,-88.23148,2119616.824
46383,SO - 0001822,2017-01-01,Livepath Corp,Product 18,Distributor,8,1031.8,8254.4,866.7119999999999,TX,Rockwall County/Dallas County,Texas,South,32.91592,-96.54867,2309499.045
46384,SO - 0003716,2017-01-01,Realbuzz Ltd,Product 14,Wholesale,5,5728.5,28642.5,3437.1,OH,Cuyahoga County,Ohio,Midwest,41.40477,-81.72291,4028698.4090000005
46385,SO - 0004300,2017-01-01,MEIJER Corp,Product 28,Wholesale,9,2251.2000000000003,20260.800000000003,1868.496,CA,Orange County,California,West,33.74557,-117.86783,1003867.767
46386,SO - 0006401,2017-01-01,Aldi Ltd,Product 27,Export,12,1078.7,12944.400000000001,776.664,CA,Stanislaus County,California,West,37.6391,-120.99688,964940.2310000001
46387,SO - 0006761,2017-01-01,Twimbo Company,Product 4,Distributor,10,2613.0,26130.0,1829.1,GA,Peach County/Houston County,Georgia,South,32.5971,-83.65394,2885560.824
46388,SO - 0007043,2017-01-01,Army Group,Product 25,Distributor,10,1132.3,11323.0,826.579,CA,Orange County,California,West,33.60002,-117.672,5342315.484
46389,SO - 0007191,2017-01-01,Eayo Company,Product 5,Distributor,9,1078.7,9708.300000000001,722.729,GA,Clarke County,Georgia,South,33.95219,-83.36715,3925424.5420000004
46390,SO - 0010754,2017-01-01,Pacific Ltd,Product 6,Distributor,9,1963.1000000000001,17667.9,1629.373,FL,Hillsborough County,Florida,South,27.94752,-82.45843,1672229.416
46391,SO - 000378,2017-01-01,Jayo Company,Product 13,Wholesale,11,924.6,10170.6,536.268,OH,Stark County,Ohio,Midwest,40.8686,-81.36892,3720639.645
46392,SO - 0002059,2017-01-01,Feednation Corp,Product 3,Wholesale,9,1018.4,9165.6,407.36,TX,Dallas County,Texas,South,32.58986,-96.85695,2642352.432
46393,SO - 0009193,2017-01-01,NARS Group,Product 3,Distributor,5,891.1,4455.5,730.702,FL,Manatee County,Florida,South,27.49893,-82.57482,2642352.432
46394,SO - 0002350,2017-01-01,Johnson Ltd,Product 13,Distributor,12,884.4,10612.8,486.42,CT,New Haven County,Connecticut,Northeast,41.5585,-73.03668,3720639.645
46395,SO - 0004688,2017-01-01,Flipstorm Group,Product 25,Wholesale,8,1038.5,8308.0,633.485,CA,Riverside County,California,West,33.72835,-117.14642,5342315.484
46396,SO - 0005205,2017-01-01,CARDINAL Group,Product 8,Wholesale,11,2378.5,26163.5,1403.3149999999998,OK,Wagoner County/Tulsa County,Oklahoma,South,36.03653,-95.781,1085037.3290000001
46397,SO - 0007853,2017-01-01,Twimbo Company,Product 16,Distributor,8,1018.4,8147.2,448.096,AR,Pulaski County,Arkansas,South,34.74648,-92.28959,2062061.144
46398,SO - 0007956,2017-01-01,Aldi Ltd,Product 25,Distributor,9,877.7,7899.3,737.268,SD,Pennington County,South Dakota,Midwest,44.08054,-103.23101,5342315.484
46399,SO - 0009514,2017-01-01,Camido Company,Product 19,Wholesale,11,904.5,9949.5,587.9250000000001,GA,Muscogee County,Georgia,South,32.46098,-84.98771,1645841.6
46400,SO - 0008126,2017-01-01,Mylan Corp,Product 4,Wholesale,8,3276.3,26210.4,2588.277,IL,DuPage County,Illinois,Midwest,41.86177,-87.9761,2885560.824
46401,SO - 0008167,2017-01-01,Dynazzy Company,Product 14,Distributor,5,3892.7000000000003,19463.5,3075.233,CA,Los Angeles County,California,West,33.93029,-118.21146,4028698.4090000005
46402,SO - 000298,2017-01-02,Neutrogena Ltd,Product 19,Distributor,8,3899.4,31195.2,2027.688,IL,Sangamon County,Illinois,Midwest,39.79106,-89.64457,1645841.6
46403,SO - 0002724,2017-01-02,Epic Group,Product 2,Wholesale,5,234.5,1172.5,117.25,FL,Miami-Dade County,Florida,South,25.79065,-80.13005,3050087.565
46404,SO - 0002908,2017-01-02,Remedy Ltd,Product 6,Export,10,1072.0,10720.0,428.8,WY,Natrona County,Wyoming,West,42.86663,-106.31308,1672229.416
46405,SO - 0004368,2017-01-02,Bluezoom Group,Product 25,Distributor,8,3839.1,30712.8,1996.332,MI,Oakland County,Michigan,Midwest,42.56923,-83.38727,5342315.484
46406,SO - 0005705,2017-01-02,Centizu Company,Product 11,Wholesale,10,1963.1000000000001,19631.0,863.764,WI,Outagamie County/Calumet County/Winnebago County,Wisconsin,Midwest,44.27795,-88.38826,1230458.484
46407,SO - 0007404,2017-01-02,Oba Company,Product 26,Wholesale,9,5936.2,53425.799999999996,3561.72,NC,Chatham County/Wake County,North Carolina,South,35.78088,-78.81327,5685138.2700000005
46408,SO - 0008748,2017-01-02,Colgate-Pa Group,Product 7,Export,7,2338.3,16368.100000000002,1028.852,VA,Richmond city,Virginia,South,37.55376,-77.46026,889737.555
46409,SO - 0002435,2017-01-02,Bath Group,Product 5,Wholesale,8,1031.8,8254.4,443.674,CA,Sacramento County,California,West,38.61713,-121.32828,3925424.5420000004
46410,SO - 0004041,2017-01-02,Deseret Group,Product 4,Wholesale,5,2592.9,12964.5,1218.663,VA,Prince William County,Virginia,South,38.63706,-77.31109,2885560.824
46411,SO - 0004738,2017-01-02,Cogidoo Company,Product 20,Wholesale,7,837.5,5862.5,644.875,CA,Los Angeles County,California,West,34.57943,-118.11646,2067108.1199999999
46412,SO - 0005552,2017-01-02,Vimbo Company,Product 21,Export,7,3189.2000000000003,22324.4,2647.036,MI,Macomb County,Michigan,Midwest,42.49982,-83.00549,959899.2180000001
46413,SO - 0008746,2017-01-02,Cantrell Company,Product 16,Distributor,10,2244.5,22445.0,920.2449999999999,WA,Spokane County,Washington,West,47.65878,-117.42605,2062061.144
46414,SO - 0009209,2017-01-02,Twimbo Company,Product 25,Wholesale,12,207.70000000000002,2492.4,85.157,NY,Queens County,New York,Northeast,40.75,-73.86667,5342315.484
46415,SO - 0009420,2017-01-02,CLINIQUE Ltd,Product 12,Wholesale,5,5286.3,26431.5,3013.191,CA,Monterey County,California,West,36.67774,-121.6555,1356976.996
46416,SO - 000962,2017-01-02,Neutrogena Ltd,Product 4,Wholesale,9,837.5,7537.5,644.875,FL,Palm Beach County,Florida,South,26.71534,-80.05337,2885560.824
46417,SO - 0001665,2017-01-02,Golden Corp,Product 16,Export,6,824.1,4944.6,659.2800000000001,IN,Marion County,Indiana,Midwest,39.87632,-86.14291,2062061.144
46418,SO - 0001933,2017-01-02,Cogilith Group,Product 13,Distributor,6,254.6,1527.6,216.41,CA,Orange County,California,West,33.66946,-117.82311,3720639.645
46419,SO - 0003799,2017-01-02,Ascend Ltd,Product 15,Distributor,6,1045.2,6271.200000000001,616.668,IN,Marion County,Indiana,Midwest,39.77186,-86.26094,3299478.315
46420,SO - 0004235,2017-01-02,SAFEWAY Ltd,Product 8,Wholesale,9,4006.6,36059.4,1802.97,IL,Cook County,Illinois,Midwest,42.04114,-87.69006,1085037.3290000001
46421,SO - 0005690,2017-01-02,Zoonoodle Ltd,Product 13,Wholesale,5,804.0,4020.0,683.4,FL,Orange County,Florida,South,28.5641,-81.2114,3720639.645
46422,SO - 0009993,2017-01-02,Skyvu Group,Product 1,Wholesale,11,3872.6,42598.6,1665.2179999999998,CA,Los Angeles County,California,West,33.96085,-118.04173,3016489.209
46423,SO - 0001424,2017-01-02,Nlounge Ltd,Product 19,Distributor,7,1688.4,11818.800000000001,844.2,GA,Muscogee County,Georgia,South,32.46098,-84.98771,1645841.6
46424,SO - 0003399,2017-01-02,Linklinks Ltd,Product 4,Distributor,9,1072.0,9648.0,814.72,PA,Bucks County,Pennsylvania,Northeast,40.10622,-74.94364,2885560.824
46425,SO - 0005388,2017-01-02,CARDINAL Group,Product 18,Export,5,167.5,837.5,105.525,KS,Wyandotte County,Kansas,Midwest,39.11417,-94.62746,2309499.045
46426,SO - 0006164,2017-01-02,SAFEWAY Ltd,Product 12,Distributor,10,3979.8,39798.0,3303.234,FL,Hillsborough County,Florida,South,28.01057,-82.57732,1356976.996
46427,SO - 0007186,2017-01-02,Chatterbri Ltd,Product 14,Distributor,6,2251.2000000000003,13507.2,1508.3040000000003,MA,Hampden County,Massachusetts,Northeast,42.1487,-72.60787,4028698.4090000005
46428,SO - 0007332,2017-01-02,Blogspan Ltd,Product 3,Wholesale,6,5889.3,35335.8,4711.4400000000005,MI,Wayne County,Michigan,Midwest,42.33698,-83.27326,2642352.432
46429,SO - 0007607,2017-01-02,Snaptags Ltd,Product 5,Distributor,11,2860.9,31469.9,1316.0140000000001,IN,Hamilton County,Indiana,Midwest,40.04559,-86.0086,3925424.5420000004
46430,SO - 0008254,2017-01-02,Jabbercube Corp,Product 16,Wholesale,8,1031.8,8254.4,815.122,PA,Bucks County,Pennsylvania,Northeast,40.10622,-74.94364,2062061.144
46431,SO - 0001891,2017-01-02,Skyvu Group,Product 14,Distributor,12,3926.2000000000003,47114.4,2669.8160000000003,CA,Orange County,California,West,33.52253,-117.70755,4028698.4090000005
46432,SO - 0002187,2017-01-02,MEIJER Corp,Product 18,Distributor,11,3979.8,43777.8,1989.9,CA,Sacramento County,California,West,38.58157,-121.4944,2309499.045
46433,SO - 0002601,2017-01-02,Voonyx Group,Product 20,Wholesale,12,6137.2,73646.4,3375.46,CA,Orange County,California,West,33.87224,-117.87034,2067108.1199999999
46434,SO - 0005600,2017-01-02,Cadila Ltd,Product 25,Wholesale,7,971.5,6800.5,505.18,TX,Harrison County/Gregg County,Texas,South,32.51934,-94.76459,5342315.484
46435,SO - 0005771,2017-01-02,Pacific Ltd,Product 2,Wholesale,7,1092.1000000000001,7644.700000000001,589.7340000000002,CA,Orange County,California,West,33.83529,-117.9145,3050087.565
46436,SO - 0006743,2017-01-02,Aromaticos Company,Product 2,Wholesale,5,6231.0,31155.0,4174.77,CA,Santa Barbara County,California,West,34.42083,-119.69819,3050087.565
46437,SO - 0009768,2017-01-02,Eidel Corp,Product 3,Wholesale,5,2653.2000000000003,13266.000000000002,1698.0480000000002,WA,King County/Pierce County,Washington,West,47.30377,-122.21,2642352.432
46438,SO - 0008653,2017-01-02,Mylan Corp,Product 13,Export,5,1078.7,5393.5,841.3860000000001,CA,Santa Barbara County,California,West,34.95303,-120.43572,3720639.645
46439,SO - 000491,2017-01-02,Mydo Corp,Product 15,Wholesale,11,2452.2000000000003,26974.200000000004,1912.7160000000003,FL,Lee County,Florida,South,26.33981,-81.7787,3299478.315
46440,SO - 0002388,2017-01-02,ALK-Abello Ltd,Product 6,Wholesale,8,2686.7000000000003,21493.600000000002,1423.9510000000002,FL,Leon County,Florida,South,30.43826,-84.28073,1672229.416
46441,SO - 0002621,2017-01-02,Golden Corp,Product 6,Distributor,6,978.2,5869.200000000001,665.176,CA,Alameda County,California,West,37.54827,-121.98857,1672229.416
46442,SO - 0002866,2017-01-02,Kaymbo Company,Product 1,Wholesale,6,3939.6,23637.6,2600.136,CT,Fairfield County,Connecticut,Northeast,41.39482,-73.45401,3016489.209
46443,SO - 0003103,2017-01-02,Pfizer Corp,Product 25,Distributor,11,1695.1000000000001,18646.100000000002,966.207,AZ,Maricopa County,Arizona,West,33.37032,-112.58378,5342315.484
46444,SO - 0005390,2017-01-02,Colgate-Pa Group,Product 8,Distributor,10,676.7,6767.0,514.292,NC,Gaston County,North Carolina,South,35.26208,-81.1873,1085037.3290000001
46445,SO - 0006381,2017-01-02,Cogidoo Company,Product 4,Wholesale,7,3102.1,21714.7,1271.8609999999999,OK,Garfield County,Oklahoma,South,36.39559,-97.87839,2885560.824
46446,SO - 0007355,2017-01-02,Thoughtmix Ltd,Product 26,Wholesale,11,3671.6,40387.6,2459.972,GA,Fulton County/Cobb County,Georgia,South,34.03945,-84.35095,5685138.2700000005
46447,SO - 0008619,2017-01-02,Natures Group,Product 2,Wholesale,7,201.0,1407.0,118.58999999999999,CA,San Diego County,California,West,32.71533,-117.15726,3050087.565
46448,SO - 0009103,2017-01-02,Eidel Corp,Product 13,Wholesale,12,1721.9,20662.800000000003,843.731,TX,Caldwell County/Hays County/Guadalupe County,Texas,South,29.8729,-97.93773,3720639.645
46449,SO - 0009761,2017-01-02,Avamba Company,Product 20,Wholesale,5,1232.8,6164.0,875.2879999999999,CA,Kern County,California,West,35.76884,-119.24705,2067108.1199999999
46450,SO - 0009952,2017-01-02,Skyvu Group,Product 25,Distributor,8,261.3,2090.4,154.167,NC,Cumberland County,North Carolina,South,35.05266,-78.87836,5342315.484
46451,SO - 0002901,2017-01-03,Twinte Group,Product 25,Wholesale,9,261.3,2351.7000000000003,198.58800000000002,CA,Santa Clara County,California,West,37.36883,-122.03635,5342315.484
46452,SO - 0003602,2017-01-03,Mydo Corp,Product 6,Wholesale,9,6023.3,54209.700000000004,4758.407,GA,DeKalb County,Georgia,South,33.85844,-84.3402,1672229.416
46453,SO - 0004487,2017-01-03,Fatz Group,Product 7,Wholesale,9,1045.2,9406.800000000001,522.6,IN,Marion County,Indiana,Midwest,39.8716,-86.01156,889737.555
46454,SO - 000189,2017-01-03,Viva Ltd,Product 12,Export,9,3953.0,35577.0,3360.0499999999997,IL,Cook County/Kane County,Illinois,Midwest,42.06521,-88.153,1356976.996
46455,SO - 0001627,2017-01-03,The Ltd,Product 16,Distributor,10,3959.7000000000003,39597.0,3009.3720000000003,CA,Sacramento County,California,West,38.61713,-121.32828,2062061.144
46456,SO - 0003272,2017-01-03,Zava Group,Product 11,Distributor,6,6438.7,38632.2,2575.48,MN,Hennepin County,Minnesota,Midwest,44.9133,-93.50329,1230458.484
46457,SO - 0006032,2017-01-03,Zava Group,Product 15,Distributor,5,777.2,3886.0,349.74,IL,DuPage County,Illinois,Midwest,41.77193,-88.09209,3299478.315
46458,SO - 0008909,2017-01-03,US Ltd,Product 20,Wholesale,5,1956.4,9782.0,1584.6840000000002,NC,Guilford County,North Carolina,South,36.07264,-79.79198,2067108.1199999999
46459,SO - 0010169,2017-01-03,SUPERVALU Ltd,Product 1,Wholesale,11,2666.6,29332.6,1786.622,IN,Monroe County,Indiana,Midwest,39.11904,-86.51979,3016489.209
46460,SO - 0003164,2017-01-03,Deseret Group,Product 20,Wholesale,9,884.4,7959.599999999999,353.76,AL,Mobile County,Alabama,South,30.69436,-88.04305,2067108.1199999999
46461,SO - 0003406,2017-01-03,Zava Group,Product 6,Wholesale,7,6137.2,42960.4,4296.04,FL,Broward County,Florida,South,26.10037,-80.39977,1672229.416
46462,SO - 0005059,2017-01-03,Natures Group,Product 1,Wholesale,8,6090.3,48722.4,2618.829,WA,King County,Washington,West,47.47038,-122.34679,3016489.209
46463,SO - 0008419,2017-01-03,Skyvu Group,Product 17,Wholesale,9,1038.5,9346.5,498.47999999999996,MN,Dakota County,Minnesota,Midwest,44.64969,-93.24272,2119616.824
46464,SO - 0008391,2017-01-03,Zoonoodle Ltd,Product 5,Wholesale,7,3906.1,27342.7,3046.758,PA,Lackawanna County,Pennsylvania,Northeast,41.40897,-75.66241,3925424.5420000004
46465,SO - 0001163,2017-01-03,Wordpedia Ltd,Product 19,Distributor,8,917.9,7343.2,431.41299999999995,MA,Middlesex County,Massachusetts,Northeast,42.41843,-71.10616,1645841.6
46466,SO - 0006750,2017-01-03,NARS Group,Product 20,Wholesale,12,1775.5,21306.0,1083.055,MA,Middlesex County,Massachusetts,Northeast,42.3751,-71.10561,2067108.1199999999
46467,SO - 0007819,2017-01-03,US Ltd,Product 15,Wholesale,10,1112.2,11122.0,912.004,MA,Hampden County,Massachusetts,Northeast,42.10148,-72.58981,3299478.315
46468,SO - 0009969,2017-01-03,Tekfly Group,Product 30,Export,9,3973.1,35757.9,2661.9770000000003,CO,Adams County,Colorado,West,39.80832,-104.93387,1011609.684
46469,SO - 000148,2017-01-03,Realbuzz Ltd,Product 13,Wholesale,10,6452.1,64521.0,5161.68,WI,Dane County,Wisconsin,Midwest,43.07305,-89.40123,3720639.645
46470,SO - 000696,2017-01-03,Remedy Ltd,Product 26,Distributor,11,3906.1,42967.1,1835.867,MI,Wayne County,Michigan,Midwest,42.36837,-83.35271,5685138.2700000005
46471,SO - 0001559,2017-01-03,Jabbercube Corp,Product 21,Wholesale,7,1989.9,13929.300000000001,835.758,MA,Bristol County,Massachusetts,Northeast,41.63622,-70.93421,959899.2180000001
46472,SO - 0003181,2017-01-03,Skidoo Company,Product 3,Wholesale,7,2251.2000000000003,15758.400000000001,1710.9120000000003,CA,Los Angeles County,California,West,34.13973,-118.03534,2642352.432
46473,SO - 0004628,2017-01-03,Kazu Corp,Product 4,Wholesale,10,1192.6000000000001,11926.000000000002,918.3020000000001,IL,McLean County,Illinois,Midwest,40.53839,-88.98528,2885560.824
46474,SO - 0005219,2017-01-03,Oba Company,Product 25,Distributor,11,3999.9,43998.9,3119.922,TX,Randall County/Potter County,Texas,South,35.19988,-101.8302,5342315.484
46475,SO - 0006313,2017-01-03,Sanum-Kehl Group,Product 16,Export,8,1822.4,14579.2,1530.816,CA,San Joaquin County,California,West,37.9577,-121.29078,2062061.144
46476,SO - 0007008,2017-01-03,Fred's Company,Product 19,Distributor,7,234.5,1641.5,93.80000000000001,CA,Los Angeles County,California,West,34.08529,-117.9609,1645841.6
46477,SO - 000692,2017-01-03,ALK-Abello Ltd,Product 6,Export,9,3731.9,33587.1,2276.459,TX,Rockwall County/Kaufman County/Collin County/Denton County/Dallas County,Texas,South,32.79333,-96.76651,1672229.416
46478,SO - 000929,2017-01-03,General Company,Product 15,Export,9,261.3,2351.7000000000003,198.58800000000002,IL,Winnebago County,Illinois,Midwest,42.24868,-89.07452,3299478.315
46479,SO - 0002644,2017-01-03,Twitterbri Ltd,Product 19,Distributor,9,3852.5,34672.5,2504.125,WA,King County/Pierce County,Washington,West,47.30377,-122.21,1645841.6
46480,SO - 0003210,2017-01-03,Yodoo Ltd,Product 17,Wholesale,12,1085.4,13024.800000000001,640.386,IL,Champaign County,Illinois,Midwest,40.11642,-88.24338,2119616.824
46481,SO - 0003737,2017-01-03,NARS Group,Product 25,Distributor,6,2311.5,13869.0,1733.625,CA,San Diego County,California,West,32.67806,-117.09917,5342315.484
46482,SO - 0005480,2017-01-03,Blogspan Ltd,Product 14,Wholesale,5,2686.7000000000003,13433.500000000002,2122.4930000000004,UT,Salt Lake County,Utah,West,40.69161,-112.00105,4028698.4090000005
46483,SO - 0006125,2017-01-03,Zooveo Company,Product 29,Wholesale,11,1815.7,19972.7,726.2800000000001,VA,Fairfax County,Virginia,South,38.84039,-77.42888,594471.5700000001
46484,SO - 0006192,2017-01-03,Skyvu Group,Product 20,Export,7,2458.9,17212.3,1032.738,GA,DeKalb County,Georgia,South,33.85844,-84.3402,2067108.1199999999
46485,SO - 0006469,2017-01-03,Army Group,Product 23,Distributor,5,2237.8,11189.0,939.8760000000001,OH,Greene County/Montgomery County,Ohio,Midwest,39.69599,-84.15044,1135815.7580000001
46486,SO - 0004529,2017-01-04,Valeant Corp,Product 29,Distributor,11,4006.6,44072.6,2844.6859999999997,NE,Hall County,Nebraska,Midwest,40.92501,-98.34201,594471.5700000001
46487,SO - 0005789,2017-01-04,Skajo Ltd,Product 1,Wholesale,7,1902.8,13319.6,1427.1,TX,Hidalgo County,Texas,South,26.1948,-98.18362,3016489.209
46488,SO - 0006334,2017-01-04,Tekfly Group,Product 5,Wholesale,12,1125.6000000000001,13507.2,472.75200000000007,CA,Santa Clara County,California,West,37.36883,-122.03635,3925424.5420000004
46489,SO - 0008860,2017-01-04,Accord Group,Product 4,Distributor,10,5768.7,57687.0,4268.838,FL,Hillsborough County,Florida,South,27.9378,-82.28592,2885560.824
46490,SO - 0003871,2017-01-04,Janyx Group,Product 13,Wholesale,7,790.6,5534.2,434.83000000000004,GA,Peach County/Houston County,Georgia,South,32.5971,-83.65394,3720639.645
46491,SO - 0004981,2017-01-04,Devpoint Group,Product 20,Wholesale,9,1065.3,9587.699999999999,521.997,LA,Orleans Parish,Louisiana,South,29.95465,-90.07507,2067108.1199999999
46492,SO - 0007239,2017-01-04,Dynazzy Company,Product 25,Wholesale,10,3906.1,39061.0,2695.209,IL,Kane County,Illinois,Midwest,41.94151,-88.321,5342315.484
46493,SO - 0008957,2017-01-04,Trunyx Ltd,Product 11,Wholesale,12,958.1,11497.2,440.72600000000006,FL,Miami-Dade County,Florida,South,25.75871,-80.39839,1230458.484
46494,SO - 0004451,2017-01-04,Zoomdog Corp,Product 2,Wholesale,12,6559.3,78711.6,5444.219,TX,Caldwell County/Hays County/Guadalupe County,Texas,South,29.8729,-97.93773,3050087.565
46495,SO - 0004698,2017-01-04,Pfizer Corp,Product 5,Wholesale,8,3953.0,31624.0,1818.38,UT,Utah County,Utah,West,40.2969,-111.69465,3925424.5420000004
46496,SO - 0005566,2017-01-04,Aromaticos Company,Product 18,Distributor,8,174.20000000000002,1393.6000000000001,142.844,GA,Fulton County/Cobb County,Georgia,South,34.03945,-84.35095,2309499.045
46497,SO - 0005773,2017-01-04,Flipbug Ltd,Product 15,Wholesale,12,3939.6,47275.2,2481.948,MI,Oakland County,Michigan,Midwest,42.65837,-83.14993,3299478.315
46498,SO - 0005782,2017-01-04,Tambee Company,Product 9,Export,6,1132.3,6793.799999999999,611.442,IN,Marion County,Indiana,Midwest,39.8716,-86.01156,710415.405
46499,SO - 0006390,2017-01-04,Thoughtmix Ltd,Product 23,Distributor,11,5159.0,56749.0,2321.55,IL,Cook County/Kane County,Illinois,Midwest,42.03964,-88.32171,1135815.7580000001
46500,SO - 0009014,2017-01-04,Skajo Ltd,Product 14,Wholesale,12,2365.1,28381.199999999997,1348.1069999999997,LA,Orleans Parish,Louisiana,South,29.95465,-90.07507,4028698.4090000005
46501,SO - 000992,2017-01-04,Golden Corp,Product 13,Export,7,3912.8,27389.600000000002,2778.088,IN,Allen County,Indiana,Midwest,41.1306,-85.12886,3720639.645
46502,SO - 0004284,2017-01-04,Realbridge Corp,Product 29,Distributor,10,241.20000000000002,2412.0,173.66400000000002,TX,Randall County/Potter County,Texas,South,35.19988,-101.8302,594471.5700000001
46503,SO - 0005424,2017-01-04,Avavee Group,Product 22,Wholesale,7,917.9,6425.3,504.845,IN,Marion County,Indiana,Midwest,39.67674,-86.15616,663601.902
46504,SO - 0009958,2017-01-04,Cadila Ltd,Product 26,Wholesale,8,2358.4,18867.2,1108.448,WA,Whatcom County,Washington,West,48.75955,-122.48822,5685138.2700000005
46505,SO - 0009362,2017-01-04,Gigabox Group,Product 30,Wholesale,8,5406.900000000001,43255.200000000004,4217.3820000000005,IA,Plymouth County/Woodbury County,Iowa,Midwest,42.49567,-96.39053,1011609.684
46506,SO - 000576,2017-01-04,Zooveo Company,Product 15,Wholesale,6,5051.8,30310.800000000003,3435.224,VA,Harrisonburg city,Virginia,South,38.44957,-78.86892,3299478.315
46507,SO - 0001134,2017-01-04,Skajo Ltd,Product 4,Distributor,5,3061.9,15309.5,2449.52,CA,Santa Cruz County,California,West,36.91023,-121.75689,2885560.824
46508,SO - 0002390,2017-01-04,SAFEWAY Ltd,Product 26,Wholesale,8,1159.1000000000001,9272.800000000001,857.734,CA,Placer County,California,West,38.75212,-121.28801,5685138.2700000005
46509,SO - 0004233,2017-01-04,Skippad Ltd,Product 19,Wholesale,11,3926.2000000000003,43188.200000000004,2630.5540000000005,WA,Yakima County,Washington,West,46.60207,-120.5059,1645841.6
46510,SO - 0005328,2017-01-04,Mydeo Ltd,Product 25,Wholesale,12,1072.0,12864.0,868.32,NJ,Monmouth County,New Jersey,Northeast,40.18205,-74.19852,5342315.484
46511,SO - 0006550,2017-01-04,Pixoboo Corp,Product 15,Wholesale,5,2365.1,11825.5,1702.8719999999998,MA,Essex County,Massachusetts,Northeast,42.46676,-70.94949,3299478.315
46512,SO - 0007051,2017-01-04,BTA Corp,Product 2,Wholesale,10,1132.3,11323.0,566.15,NJ,Passaic County,New Jersey,Northeast,40.85677,-74.12848,3050087.565
